lf1	of
lf2	or
gl1	to
gl2	go
lh1	on
lh2	oh
sah1	say
sah2	way
ghdh1	they
ghdh2	then
hlg1	not
hlg2	hot
dah1	can
dah2	day
jh1	my
jh2	uh
gakd1	take
gakd2	bake
ljg1	out
ljg2	put
jjsg1	just
jjsg2	must
hljf1	your
hljf2	hour
dljd1	come
dljd2	clue
hls1	now
hls2	how
jlfd1	more
jlfd2	move
hds1	new
hds2	yes
jah1	man
jah2	may
fkhd1	find
fkhd2	fine
sdll1	well
sdll2	sell
gdll1	tell
gdll2	bell
js1	us
js2	ms
lkfd1	life
lkfd2	live
lasg1	last
lasg2	past
gll1	too
gll2	top
sgagd1	state
sgagd2	stage
shh1	why
shh2	shy
gfdag1	great
gfdag2	treat
gkg1	big
gkg2	bit
shls1	show
shls2	snow
dasd1	case
dasd2	ease
sddk1	week
sddk2	seek
fkghg1	right
fkghg2	fight
fjh1	run
fjh2	fun
hdsg1	next
hdsg2	nest
dhd1	eye
dhd2	end
skdd1	side
skdd2	wide
faghdf1	father
faghdf2	rather
llsdf1	power
llsdf2	lower
hdg1	yet
hdg2	net
lkhd1	line
lkhd2	pine
llsd1	lose
llsd2	pose
daf1	car
daf2	ear
fkfd1	five
fkfd2	fire
gdaj1	team
gdaj2	beam
fllg1	foot
fllg2	root
glh1	boy
glh2	toy
fdadh1	reach
fdadh2	ready
lagd1	late
lagd2	page
dlsd1	else
dlsd2	dose
skfd1	wife
skfd2	wire
jkhd1	mind
jkhd2	mine
lfkdd1	price
lfkdd2	pride
slh1	son
slh2	spy
gas1	tax
gas2	gas
gdadh1	teach
gdadh2	beach
lkl1	oil
lkl2	lip
lahd1	land
lahd2	lane
gagh1	baby
gagh2	bath
fdd1	red
fdd2	fee
gahk1	bank
gahk2	tank
gdd1	bed
gdd2	bee
dfll1	drop
dfll2	crop
jllh1	upon
jllh2	moon
sglfd1	store
sglfd2	stove
sljhd1	sound
sljhd2	wound
dasg1	east
dasg2	cast
dlg1	dog
dlg2	dot
gls1	box
gls2	bow
gkll1	bill
gkll2	till
fakl1	fail
fakl2	rail
slfg1	sort
slfg2	soft
dhddk1	check
dhddk2	cheek
dlld1	cold
dlld2	cope
hkdd1	nice
hkdd2	hide
gall1	ball
gall2	tall
shakd1	shake
shakd2	snake
gfkl1	trip
gfkl2	grip
slffh1	worry
slffh2	sorry
fdaf1	fear
fdaf2	rear
dfdaj1	dream
dfdaj2	cream
hdag1	heat
hdag2	neat
skhg1	sing
skhg2	wing
dahddf1	cancer
dahddf2	dancer
dladh1	coach
dladh2	dozen
skhd1	wind
skhd2	wine
fasg1	fast
fasg2	vast
fdfdf1	refer
fdfdf2	fever
dagd1	date
dagd2	cage
fah1	fan
fah2	van
shkl1	ship
shkl2	whip
sllg1	spot
sllg2	slot
ladk1	lack
ladk2	pack
glag1	boat
glag2	goat
slld1	wood
slld2	sole
skhgdf1	winter
skhgdf2	singer
fkllagd1	village
fkllagd2	violate
flll1	roll
flll2	fool
shald1	shape
shald2	whale
fkdd1	ride
fkdd2	rice
glll1	tool
glll2	toll
skld1	wild
skld2	wipe
gkgld1	title
gkgld2	bible
fkg1	fit
fkg2	rib
dfh1	cry
dfh2	dry
dlhgdsg1	context
dlhgdsg2	contest
asafd1	aware
asafd2	award
dlll1	cool
dlll2	doll
gald1	tape
gald2	tale
gkd1	tie
gkd2	bid
fag1	fat
fag2	rat
ljhdh1	lunch
ljhdh2	punch
sljl1	soul
sljl2	soup
gfdagh1	breath
gfdagh2	treaty
shkfg1	shift
shkfg2	shirt
lkhk1	link
lkhk2	pink
sakd1	wake
sakd2	sake
slkl1	slip
slkl2	soil
djd1	due
djd2	cue
gdhddf1	gender
gdhddf2	tender
flfgh1	forth
flfgh2	forty
ffajd1	frame
ffajd2	fraud
gllgh1	tooth
gllgh2	booth
fafd1	rare
fafd2	fare
gddf1	beer
gddf2	beef
sddd1	seed
sddd2	weed
gjsh1	busy
gjsh2	bush
gfah1	gray
gfah2	tray
dlfd1	core
dlfd2	cord
shddl1	wheel
shddl2	sheep
lag1	lab
lag2	pat
gal1	gap
gal2	tap
gfkdf1	brief
gfkdf2	grief
llsg1	post
llsg2	lost
sgddl1	steel
sgddl2	steep
slkdd1	slide
slkdd2	slice
gfahd1	grand
gfahd2	brand
glss1	boss
glss2	toss
gllg1	boot
gllg2	bolt
fljhd1	round
fljhd2	found
hllh1	holy
hllh2	noon
flag1	flag
flag2	flat
gjdk1	buck
gjdk2	tuck
fkfgh1	fifth
fkfgh2	fifty
jakl1	mail
jakl2	jail
dfafg1	draft
dfafg2	craft
fdgakh1	retain
fdgakh2	regain
slafd1	slave
slafd2	spare
gdsgjfd1	gesture
gdsgjfd2	texture
lkld1	pipe
lkld2	pile
falkd1	rapid
falkd2	valid
hjhgdf1	hunter
hjhgdf2	hunger
gfkdk1	trick
gfkdk2	brick
gld1	god
gld2	toe
hjg1	nut
hjg2	hug
shlfd1	shore
shlfd2	shove
gfafd1	grave
gfafd2	brave
lkg1	pig
lkg2	pit
sdafd1	scare
sdafd2	weave
slal1	slap
slal2	soap
glasg1	boast
glasg2	blast
hafd1	have
hafd2	hard
hafd3	yard
skgh1	with
skgh2	sign
skgh3	sigh
gjg1	but
gjg2	bug
gjg3	gut
gdg1	get
gdg2	bet
gdg3	beg
hdaf1	year
hdaf2	hear
hdaf3	near
gkfd1	give
gkfd2	bird
gkfd3	tire
glld1	good
glld2	gold
glld3	bold
ldg1	let
ldg2	leg
ldg3	pet
hdll1	help
hdll2	hell
hdll3	yell
gjfh1	turn
gjfh2	burn
gjfh3	bury
llah1	play
llah2	plan
llah3	loan
hlld1	hold
hlld2	hope
hlld3	hole
lah1	pay
lah2	lay
lah3	pan
sdg1	set
sdg2	wet
sdg3	web
gdsg1	best
gdsg2	test
gdsg3	text
fadd1	face
fadd2	race
fadd3	fade
skh1	win
skh2	sky
skh3	sin
gjh1	guy
gjh2	buy
gjh3	gun
fagd1	rate
fagd2	fate
fagd3	rage
dag1	eat
dag2	cat
dag3	cab
dash1	easy
dash2	cash
dash3	dawn
safd1	save
safd2	safe
safd3	wave
lkd1	lie
lkd2	pie
lkd3	lid
gag1	bag
gag2	bat
gag3	tag
gdhd1	tend
gdhd2	bend
gdhd3	gene
gfakh1	brain
gfakh2	train
gfakh3	grain
glhd1	bone
glhd2	bond
glhd3	tone
llll1	pool
llll2	poll
llll3	loop
gdaf1	bear
gdaf2	tear
gdaf3	gear
gah1	gay
gah2	ban
gah3	bay
llg1	lot
llg2	pot
llg3	log
llg4	opt
flld1	food
flld2	role
flld3	rope
flld4	fold
dafd1	care
dafd2	card
dafd3	dare
dafd4	cave
gfadd1	trade
gfadd2	grade
gfadd3	trace
gfadd4	grace
ghd	the
gd	be
ahd	and
a	a
kh	in
kg	it
k	i
ghag	that
flf	for
hlj	you
hd	he
dl	do
ghks	this
ag	at
sd	we
hks	his
fflj	from
gh	by
shd	she
as	as
shag	what
ghdkf	their
shl	who
kf	if
sljld	would
hdf	her
all	all
jakd	make
agljg	about
khls	know
skll	will
jl	up
lhd	one
gkjd	time
ghdfd	there
sl	so
ghkhk	think
shdh	when
shkdh	which
ghdj	them
sljd	some
jd	me
ldllld	people
khgl	into
sdd	see
hkj	him
dljld	could
ghah	than
lkkd	like
lghdf	other
kgs	its
ljf	our
gsl	two
ghdsd	these
sahg	want
lllk	look
fkfsg	first
alsl	also
gddajsd	because
jsd	use
hl	no
hdfd	here
ghkhg	thing
jahh	many
lhlh	only
ghlsd	those
fdfh	very
dfdh	even
gadk	back
ahh	any
sljah	woman
ghfljgh	through
dhkld	child
slfk	work
dlsh	down
afgdf	after
shljld	should
dall	call
slfld	world
lfdf	over
sdhlll	school
sgkll	still
gfh	try
ask	ask
hddd	need
fddl	feel
ghfdd	three
hdfdf	never
gddljd	become
gdgsddh	between
hkgh	high
fdallh	really
sljdghkhg	something
jlsg	most
ahlghdf	another
jjdh	much
fajklh	family
lsh	own
ldafd	leave
lld	old
shkld	while
jdah	mean
kddl	keep
sgjddhg	student
sajd	same
gfljl	group
gdgkh	begin
sddj	seem
dljhgfh	country
galk	talk
shdfd	where
lflgldj	problem
dfdfh	every
sgafg	start
hahd	hand
jkghg	might
ajdfkdah	american
lafg	part
agakhsg	against
lladd	place
sjdh	such
agakh	again
fds	few
dljlahh	company
shsgdj	system
dadh	each
lflgfaj	program
ajdsgklh	question
djfkhg	during
glfdfhjdhg	government
sjall	small
hjjgdf	number
lff	off
alsahs	always
hkghg	night
jf	mr
llkhg	point
gdlkdfd	believe
gldah	today
gfkhg	bring
halldh	happen
skghljg	without
gdflfd	before
lafgd	large
jkllklh	million
hljd	home
jhddf	under
sagdf	water
fllj	room
sfkgd	write
jlghdf	mother
afda	area
hagklhal	national
jlhdh	money
sglfh	story
hljhg	young
fadg	fact
jlhgh	month
dkffdfdhg	different
sgjdh	study
gllk	book
jlg	job
slfd	word
ghljgh	though
gjskhdss	business
kssjd	issue
kkhd	kind
fljf	four
hdad	head
faf	far
gladk	black
llhg	long
glgh	both
lkggld	little
hljsd	house
skhdd	since
lflfkdd	provide
sdffkdd	service
afljhd	around
ffkdhd	friend
kjllfgahg	important
skg	sit
asah	away
jhgkl	until
gajd	game
lfgdh	often
lllkgkdal	political
ajlhg	among
dfdf	ever
sgahd	stand
gad	bad
hlsdfdf	however
jdjgdf	member
las	law
jddg	meet
dkgh	city
aljlsg	almost
khdljdd	include
dlhgkhjd	continue
lagdf	later
dljjjhkgh	community
hajd	name
lhdd	once
shkgd	white
ldasg	least
lfdskddhg	president
ldafh	learn
fdal	real
dhahgd	change
jkhjgd	minute
sdfdfal	several
kdda	idea
kkd	kid
gldh	body
khflfjagklh	information
hlghkhg	nothing
agl	ago
ldad	lead
sldkal	social
jhddfsgahd	understand
shdghdf	whether
sagdh	watch
glgdghdf	together
flllls	follow
lafdhg	parent
sgll	stop
ahhghkhg	anything
dfdagd	create
ljglkd	public
alfdadh	already
sldak	speak
lghdfs	others
fdad	read
ldfdl	level
allls	allow
add	add
lffkdd	office
sldhd	spend
dllf	door
hdalgh	health
ldfslh	person
afg	art
sjfd	sure
saf	war
hksglfh	history
lafgh	party
skghkh	within
gfls	grow
fdsjlg	result
lldh	open
jlfhkhg	morning
salk	walk
fdaslh	reason
lls	low
fdsdafdh	research
gkfl	girl
daflh	early
jljdhg	moment
hkjsdlf	himself
akf	air
gdadhdf	teacher
flfdd	force
lffdf	offer
dhljgh	enough
ddjdagklh	education
adflss	across
alghljgh	although
fdjdjgdf	remember
sddlhd	second
jahgd	maybe
glsafd	toward
agld	able
agd	age
lllkdh	policy
dfdfhghkhg	everything
llfd	love
lflddss	process
jjskd	music
khdljdkhg	including
dlhskddf	consider
alldaf	appear
adgjallh	actually
lflgaglh	probably
hjjah	human
sakg	wait
sdffd	serve
jafkdg	market
dkd	die
sdhd	send
dslddg	expect
sdhsd	sense
gjkld	build
sgah	stay
fall	fall
hagklh	nation
djg	cut
dllldgd	college
khgdfdsg	interest
ddagh	death
dljfsd	course
sljdlhd	someone
dsldfkdhdd	experience
gdhkhd	behind
lldal	local
kkll	kill
sks	six
fdjakh	remain
dffddg	effect
hdah	yeah
sjggdsg	suggest
dlass	class
dlhgfll	control
faksd	raise
ldfhals	perhaps
fkdld	field
lass	pass
flfjdf	former
jajlf	major
sljdgkjds	sometimes
fdajkfd	require
allhg	along
ddfdllljdhg	development
ghdjsdlfds	themselves
fdllfg	report
gdggdf	better
ddlhljkd	economic
dfflfg	effort
dddkdd	decide
sgflhg	strong
llsskgld	possible
hdafg	heart
dfjg	drug
ldaddf	leader
lkghg	light
flkdd	voice
shlld	whole
lllkdd	police
fkhallh	finally
ljll	pull
fdgjfh	return
ffdd	free
jklkgafh	military
ldss	less
addlfdkhg	according
dddksklh	decision
dsllakh	explain
ddfdlll	develop
fkds	view
fdlagklhshkl	relationship
daffh	carry
glsh	town
flad	road
dfkfd	drive
afj	arm
gfjd	true
fdddfal	federal
gfdak	break
dkffdfdhdd	difference
ghahk	thank
fdddkfd	receive
faljd	value
khgdfhagklhal	international
gjkldkhg	building
adgklh	action
fjll	full
jlddl	model
jlkh	join
sdaslh	season
sldkdgh	society
dkfddglf	director
llskgklh	position
llahdf	player
agfdd	agree
dslddkallh	especially
fddlfd	record
lkdk	pick
sdaf	wear
laldf	paper
slddkal	special
sladd	space
gfljhd	ground
flfj	form
sjlllfg	support
dfdhg	event
lffkdkal	official
shlsd	whose
jaggdf	matter
dfdfhlhd	everyone
ddhgdf	center
dljlld	couple
skgd	site
lfljddg	project
hkg	hit
gasd	base
adgkfkgh	activity
sgaf	star
gagld	table
dljfg	court
lfldjdd	produce
half	half
skgjagklh	situation
dlsg	cost
khdjsgfh	industry
fkgjfd	figure
sgfddg	street
kjagd	image
kgsdlf	itself
lhlhd	phone
dkghdf	either
daga	data
dlfdf	cover
ajkgd	quite
lkdgjfd	picture
dldaf	clear
lfadgkdd	practice
lkddd	piece
fdddhg	recent
ddsdfkgd	describe
lfldjdg	product
dldglf	doctor
sall	wall
lagkdhg	patient
slfkdf	worker
hdss	news
jlfkd	movie
ddfgakh	certain
hlfgh	north
ldfslhal	personal
skjllh	simply
ghkfd	third
gddhhlllgh	technology
dagdh	catch
sgdl	step
dljljgdf	computer
ghld	type
aggdhgklh	attention
dfas	draw
fklj	film
fdljglkdah	republican
gfdd	tree
sljfdd	source
hdaflh	nearly
lfgahkaagklh	organization
dhllsd	choose
dajsd	cause
hakf	hair
ddhgjfh	century
dfkddhdd	evidence
skhdls	window
dkffkdjlg	difficult
lksgdh	listen
sllh	soon
djlgjfd	culture
gkllklh	billion
dhahdd	chance
gflghdf	brother
dhdfgh	energy
ldfkld	period
sjjjdf	summer
fdalkad	realize
hjhdfdd	hundred
afaklagld	available
llahg	plant
lkkdlh	likely
llllfgjhkgh	opportunity
gdfj	term
shlfg	short
ldggdf	letter
dlhdkgklh	condition
dhlkdd	choice
skhgld	single
fjld	rule
dajghgdf	daughter
adjkhksgfagklh	administration
sljgh	south
hjsgahd	husband
dlhgfdss	congress
flllf	floor
dajlakgh	campaign
jagdfkal	material
llljlagklh	population
ddlhljh	economy
jddkdal	medical
hlslkgal	hospital
dhjfdh	church
dllsd	close
ghljsahd	thousand
fksk	risk
djffdhg	current
fjgjfd	future
sflhg	wrong
khfllfd	involve
ddfdhsd	defense
ahhlhd	anyone
khdfdasd	increase
sddjfkgh	security
jhsdlf	myself
ddfgakhlh	certainly
sdsg	west
sllfg	sport
glafd	board
ldf	per
sjgjddg	subject
lffkddf	officer
lfkfagd	private
fdsg	rest
gdhafklf	behavior
ddal	deal
ldfflfjahdd	performance
ghfls	throw
ajkdklh	quickly
glal	goal
lfddf	order
ajghlf	author
fkll	fill
fdlfdsdhg	represent
fldjs	focus
flfdkgh	foreign
gllld	blood
agdhdh	agency
ljsh	push
hagjfd	nature
dlllf	color
fdddhglh	recently
fddjdd	reduce
hlgd	note
jlfdjdhg	movement
dhgdf	enter
shafd	share
dljjlh	common
lllf	poor
hagjfal	natural
dlhddfh	concern
sdfkds	series
skghkfkdahg	significant
skjklaf	similar
lahgjagd	language
jsjallh	usually
fdsllhsd	response
ddad	dead
fksd	rise
ahkjal	animal
fadglf	factor
dddadd	decade
afgkdld	article
shllg	shoot
sdfdh	seven
afgksg	artist
sddhd	scene
sgldk	stock
dafddf	career
ddslkgd	despite
ddhgfal	central
dkghg	eight
ghjs	thus
gfdagjdhg	treatment
gdhlhd	beyond
hallh	happy
dsadglh	exactly
lflgddg	protect
allfladh	approach
skad	size
fjhd	fund
sdfkljs	serious
lddjf	occur
jddka	media
ghljghg	thought
lksg	list
khdkfkdjal	individual
skjlld	simple
ajalkgh	quality
lfdssjfd	pressure
adddlg	accept
ahssdf	answer
fdsljfdd	resource
kddhgkfh	identify
ldfg	left
jddgkhg	meeting
ddgdfjkhd	determine
lfdlafd	prepare
dksdasd	disease
shagdfdf	whatever
sjdddss	success
afgjd	argue
djl	cup
lafgkdjlaflh	particularly
ajljhg	amount
agklkgh	ability
sgaff	staff
fddlghkad	recognize
khdkdagd	indicate
dhafadgdf	character
gflsgh	growth
llss	loss
ddgfdd	degree
slhddf	wonder
aggadk	attack
hdfsdlf	herself
fdgklh	region
gdldfksklh	television
gf	tv
gfakhkhg	training
lfdggh	pretty
dlddgklh	election
dfdfhgldh	everybody
lhhskdal	physical
gdhdfal	general
fddlkhg	feeling
sgahdafd	standard
jdssagd	message
ljgskdd	outside
affkfd	arrive
ahalhsks	analysis
gdhdfkg	benefit
sds	sex
flfsafd	forward
lashdf	lawyer
lfdsdhg	present
sddgklh	section
dhfkflhjdhgal	environmental
glass	glass
skkll	skill
sksgdf	sister
lj	pm
lflfdsslf	professor
lldfagklh	operation
fkhahdkal	financial
dfkjd	crime
lk	ok
dljlafd	compare
ajghlfkgh	authority
jkss	miss
ddskgh	design
adg	act
gdh	ten
khlslddgd	knowledge
sgagklh	station
gljd	blue
sgfagdgh	strategy
dldaflh	clearly
dksdjss	discuss
khdddd	indeed
gfjgh	truth
slhg	song
dsajlld	example
ddjldfagkd	democratic
dhfkflhjdhg	environment
dafk	dark
fafkljs	various
lajgh	laugh
gjdss	guess
dsddjgkfd	executive
lflfd	prove
hahg	hang
dhgkfd	entire
fldk	rock
flfgdg	forget
dlakj	claim
fdjlfd	remove
jahagdf	manager
dhjlh	enjoy
hdgslfk	network
ldgal	legal
fdlkgkljs	religious
fkhal	final
jakh	main
sdkdhdd	science
gfddh	green
jdjlfh	memory
aglfd	above
sdag	seat
ddll	cell
dsgaglksh	establish
gfkal	trial
dsldfg	expert
slfkhg	spring
fkfj	firm
ddjldfag	democrat
fadkl	radio
fkskg	visit
jahagdjdhg	management
aflkd	avoid
kjagkhd	imagine
glhkghg	tonight
hjgd	huge
fkhksh	finish
hljfsdlf	yourself
ghdlfh	theory
kjladg	impact
fdsllhd	respond
sgagdjdhg	statement
jakhgakh	maintain
dhafgd	charge
llljlaf	popular
gfadkgklhal	traditional
lhgl	onto
fdfdal	reveal
dkfddgklh	direction
sdallh	weapon
djlllhdd	employee
djlgjfal	cultural
dlhgakh	contain
ldadd	peace
lakh	pain
alllh	apply
jdasjfd	measure
flh	fly
khgdffkds	interview
jahagd	manage
dhakf	chair
fksh	fish
lafgkdjlaf	particular
dajdfa	camera
sgfjdgjfd	structure
lllkgkds	politics
ldfflfj	perform
sdkghg	weight
sjdddhlh	suddenly
dksdlfdf	discover
dahdkdagd	candidate
lfldjdgklh	production
dfdhkhg	evening
affddg	affect
khskdd	inside
dlhfdfdhdd	conference
jhkg	unit
sghld	style
adjlg	adult
fahgd	range
jdhgklh	mention
dddl	deep
ddgd	edge
slddkfkd	specific
sfkgdf	writer
gfljgld	trouble
hdddssafh	necessary
ghfljghljg	throughout
dhalldhgd	challenge
shljlddf	shoulder
khsgkgjgklh	institution
jkddld	middle
sda	sea
gaf	bar
gdajgkfjl	beautiful
lflldfgh	property
khsgdad	instead
kjlflfd	improve
sgjff	stuff
ddgakl	detail
jdghld	method
sljdgldh	somebody
jagaakhd	magazine
hlgdl	hotel
slldkdf	soldier
fdflddg	reflect
hdafh	heavy
sdsjal	sexual
jaffkagd	marriage
gljgh	tough
sjffadd	surface
ljfllsd	purpose
dsksg	exist
laggdfh	pattern
shlj	whom
skkh	skin
agdhg	agent
lshdf	owner
jadhkhd	machine
ahdad	ahead
gdhdfagklh	generation
dljjdfdkal	commercial
addfdss	address
kgdj	item
fdalkgh	reality
jfs	mrs
gdag	beat
fklldhdd	violence
glgal	total
khfdsgjdhg	investment
dksdjssklh	discussion
fkhgdf	finger
gafddh	garden
hlgkdd	notice
dlllddgklh	collection
jlddfh	modern
gask	task
lafghdf	partner
llskgkfd	positive
dkfkl	civil
kkgdhdh	kitchen
dlhsjjdf	consumer
shlg	shot
gjdgdg	budget
sksh	wish
lakhgkhg	painting
sdkdhgksg	scientist
agfddjdhg	agreement
dalkgal	capital
jljgh	mouth
hlf	nor
fkdgkj	victim
hdsslaldf	newspaper
ghfdag	threat
fdsllhskgklkgh	responsibility
sjkld	smile
agglfhdh	attorney
sdlfd	score
addljhg	account
khgdfdsgkhg	interesting
ajdkdhdd	audience
fkdh	rich
dkhhdf	dinner
flgd	vote
sdsgdfh	western
fdlagd	relate
gfafdl	travel
ddgagd	debate
lfdfdhg	prevent
dkgkadh	citizen
jajlfkgh	majority
hlhd	none
fflhg	front
glfh	born
adjkg	admit
sdhklf	senior
assjjd	assume
kdh	key
lflfdssklhal	professional
jkssklh	mission
allhd	alone
djsgljdf	customer
sjffdf	suffer
sldddh	speech
sjdddssfjl	successful
llgklh	option
lafgkdklahg	participant
sljghdfh	southern
ffdsh	fresh
dfdhgjallh	eventually
flfdsg	forest
fkddl	video
gllgal	global
sdhagd	senate
fdflfj	reform
adddss	access
fdsgajfahg	restaurant
jjdgd	judge
ljglksh	publish
fdlagklh	relation
fdldasd	release
llkhklh	opinion
dfddkg	credit
dfkgkdal	critical
dlfhdf	corner
dlhddfhdd	concerned
fddall	recall
fdfsklh	version
sgafd	stare
safdgh	safety
dffddgkfd	effective
hdkghglfhlld	neighborhood
lfkgkhal	original
gflll	troop
khdljd	income
dkfddglh	directly
hjfg	hurt
slddkds	species
